"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Абетнакович","M","Абетнаковичу","Абетнаковича","Абетнаковичу","Абетнаковича","Абетнаковичем","Абетнаковичу"
"Абжелилович","M","Абжеліловичу","Абжеліловича","Абжеліловичу","Абжеліловича","Абжеліловичем","Абжеліловичу"
"Абзалетдинович","M","Абзалетдиновичу","Абзалетдиновича","Абзалетдиновичу","Абзалетдиновича","Абзалетдиновичем","Абзалетдиновичу"
"Абзар Оглы","M","Абзар Огли","Абзар Огли","Абзар Огли","Абзар Огли","Абзар Огли","Абзар Огли"
"Абиевич","M","Абійовичу","Абійовича","Абійовичу","Абійовича","Абійовичем","Абійовичу"
"Абилалимович","M","Абілалімовичу","Абілалімовича","Абілалімовичу","Абілалімовича","Абілалімовичем","Абілалімовичу"
"Абильзятович","M","Абільзятовичу","Абільзятовича","Абільзятовичу","Абільзятовича","Абільзятовичем","Абільзятовичу"
"Абилязовна","F","Абілязівно","Абілязівни","Абілязівні","Абілязівни","Абілязівною","Абілязівні"
"Абитович","M","Абітовичу","Абітовича","Абітовичу","Абітовича","Абітовичем","Абітовичу"
"Абкадирович","M","Абкадировичу","Абкадировича","Абкадировичу","Абкадировича","Абкадировичем","Абкадировичу"
"Абкеримовна","F","Абкеримівно","Абкеримівни","Абкеримівні","Абкеримівни","Абкеримівною","Абкеримівні"
"Аблаевич","M","Аблайовичу","Аблайовича","Аблайовичу","Аблайовича","Аблайовичем","Аблайовичу"
"Аблаевна","F","Аблаївно","Аблаївни","Аблаївні","Аблаївни","Аблаївною","Аблаївні"
"Аблазізович","M","","","","","",""
"Аблазізівна","F","","","","","",""
"Аблокулович","M","Аблокуловичу","Аблокуловича","Аблокуловичу","Аблокуловича","Аблокуловичем","Аблокуловичу"
"Аблязисовна","F","Аблязісівно","Аблязісівни","Аблязісівні","Аблязісівни","Аблязісівною","Аблязісівні"
"Аблязович","M","","","","","",""
"Аблязівна","F","","","","","",""
"Аблякимович","M","Аблякимовичу","Аблякимовича","Аблякимовичу","Аблякимовича","Аблякимовичем","Аблякимовичу"
"Аблякимовна","F","Аблякимівно","Аблякимівни","Аблякимівні","Аблякимівни","Аблякимівною","Аблякимівні"
"Аблякімович","M","","","","","",""
"Аблякімівна","F","","","","","",""
"Аблямитович","M","Аблямитовичу","Аблямитовича","Аблямитовичу","Аблямитовича","Аблямитовичем","Аблямитовичу"
"Аблямитовна","F","Аблямитівно","Аблямитівни","Аблямитівні","Аблямитівни","Аблямитівною","Аблямитівні"
"Аблямітович","M","","","","","",""
"Абляміттівна","F","","","","","",""
"Аблятифович","M","Аблятифовичу","Аблятифовича","Аблятифовичу","Аблятифовича","Аблятифовичем","Аблятифовичу"
"Абрамович","M","Абрамовичу","Абрамовича","Абрамовичу","Абрамовича","Абрамовичем","Абрамовичу"
"Абрамовна","F","Абрамівно","Абрамівни","Абрамівні","Абрамівни","Абрамівною","Абрамівні"
"Абрамівна","F","","","","","",""
"Абрекович","M","","","","","",""
"Абреківна","F","","","","","",""
"Абрикович","M","Абриковичу","Абриковича","Абриковичу","Абриковича","Абриковичем","Абриковичу"
"Абубекирович","M","Абубекировичу","Абубекировича","Абубекировичу","Абубекировича","Абубекировичем","Абубекировичу"
"Абузаровна","F","Абузарівно","Абузарівни","Абузарівні","Абузарівни","Абузарівною","Абузарівні"
"Абулфатович","M","Абулфатовичу","Абулфатовича","Абулфатовичу","Абулфатовича","Абулфатовичем","Абулфатовичу"
"Абусейтович","M","Абусейтовичу","Абусейтовича","Абусейтовичу","Абусейтовича","Абусейтовичем","Абусейтовичу"
"Абясович","M","Абясовичу","Абясовича","Абясовичу","Абясовича","Абясовичем","Абясовичу"
"Абібулович","M","","","","","",""
"Абібулівна","F","","","","","",""
"Абілович","M","","","","","",""
"Абілівна","F","","","","","",""
"Авадович","M","","","","","",""
"Авадівна","F","","","","","",""
"Авазович","M","Авазовичу","Авазовича","Авазовичу","Авазовича","Авазовичем","Авазовичу"
"Авакович","M","Аваковичу","Аваковича","Аваковичу","Аваковича","Аваковичем","Аваковичу"
"Авакянович","M","","","","","",""
"Авакянівна","F","","","","","",""
"Аванесович","M","Аванесовичу","Аванесовича","Аванесовичу","Аванесовича","Аванесовичем","Аванесовичу"
"Аванесовна","F","Аванесівно","Аванесівни","Аванесівні","Аванесівни","Аванесівною","Аванесівні"
"Аванесівна","F","","","","","",""
"Аввакумович","M","Аввакумовичу","Аввакумовича","Аввакумовичу","Аввакумовича","Аввакумовичем","Аввакумовичу"
"Аввакумовна","F","Аввакумівно","Аввакумівни","Аввакумівні","Аввакумівни","Аввакумівною","Аввакумівні"
"Августинович","M","Августиновичу","Августиновича","Августиновичу","Августиновича","Августиновичем","Августиновичу"
"Августиновна","F","Августинівно","Августинівни","Августинівні","Августинівни","Августинівною","Августинівні"
"Августинівна","F","","","","","",""
"Августович","M","Августовичу","Августовича","Августовичу","Августовича","Августовичем","Августовичу"
"Августовна","F","Августівно","Августівни","Августівні","Августівни","Августівною","Августівні"
"Августівна","F","","","","","",""
"Авдеевич","M","Авдійовичу","Авдійовича","Авдійовичу","Авдійовича","Авдійовичем","Авдійовичу"
"Авдеевна","F","Авдіївно","Авдіївни","Авдіївні","Авдіївни","Авдіївною","Авдіївні"
"Авдейович","M","","","","","",""
"Авдеївна","F","","","","","",""
"Авельович","M","","","","","",""
"Авелівна","F","","","","","",""
"Авенирович","M","Авеніровичу","Авеніровича","Авеніровичу","Авеніровича","Авеніровичем","Авеніровичу"
"Авенировна","F","Авенирівно","Авенирівни","Авенирівні","Авенирівни","Авенирівною","Авенирівні"
"Авенірович","M","","","","","",""
"Авенірівна","F","","","","","",""
"Аверьянович","M","Аверʼяновичу","Аверʼяновича","Аверʼяновичу","Аверʼяновича","Аверʼяновичем","Аверʼяновичу"
"Аверьяновна","F","Аверʼянівно","Аверʼянівни","Аверʼянівні","Аверʼянівни","Аверʼянівною","Аверʼянівні"
"Аветикович","M","Аветиковичу","Аветиковича","Аветиковичу","Аветиковича","Аветиковичем","Аветиковичу"
"Аветиковна","F","Аветиківно","Аветиківни","Аветиківні","Аветиківни","Аветиківною","Аветиківні"
"Аветисович","M","Аветисовичу","Аветисовича","Аветисовичу","Аветисовича","Аветисовичем","Аветисовичу"
"Аветисянович","M","","","","","",""
"Аветисянівна","F","","","","","",""
"Аветізович","M","","","","","",""
"Аветізівна","F","","","","","",""
"Аветікович","M","","","","","",""
"Аветіківна","F","","","","","",""
"Авксентиевич","M","Авксентійовичу","Авксентійовича","Авксентійовичу","Авксентійовича","Авксентійовичем","Авксентійовичу"
"Авксентьевна","F","Авксентіївно","Авксентіївни","Авксентіївні","Авксентіївни","Авксентіївною","Авксентіївні"
"Авксентійович","M","","","","","",""
"Авксентіївна","F","","","","","",""
"Авралович","M","Авраловичу","Авраловича","Авраловичу","Авраловича","Авраловичем","Авраловичу"
"Аврамович","M","Аврамовичу","Аврамовича","Аврамовичу","Аврамовича","Аврамовичем","Аврамовичу"
"Аврамовна","F","Аврамівно","Аврамівни","Аврамівні","Аврамівни","Аврамівною","Аврамівні"
"Аврелиевна","F","Авреліївно","Авреліївни","Авреліївні","Авреліївни","Авреліївною","Авреліївні"
"Аврелович","M","Авреловичу","Авреловича","Авреловичу","Авреловича","Авреловичем","Авреловичу"
"Аврумович","M","Аврумовичу","Аврумовича","Аврумовичу","Аврумовича","Аврумовичем","Аврумовичу"
"Авсеевна","F","Авсіївно","Авсіївни","Авсіївні","Авсіївни","Авсіївною","Авсіївні"
"Австралиевич","M","Австралійовичу","Австралійовича","Австралійовичу","Австралійовича","Австралійовичем","Австралійовичу"
"Автандилович","M","Автанділовичу","Автанділовича","Автанділовичу","Автанділовича","Автанділовичем","Автанділовичу"
"Автандиловна","F","Автандилівно","Автандилівни","Автандилівні","Автандилівни","Автандилівною","Автандилівні"
"Автанділович","M","","","","","",""
"Автанділівна","F","","","","","",""
"Автомонович","M","Автомоновичу","Автомоновича","Автомоновичу","Автомоновича","Автомоновичем","Автомоновичу"
"Автономович","M","Автономовичу","Автономовича","Автономовичу","Автономовича","Автономовичем","Автономовичу"
"Автономовна","F","Автономівно","Автономівни","Автономівні","Автономівни","Автономівно","Автономівні"
"Авывович","M","Авивовичу","Авивовича","Авивовичу","Авивовича","Авивовичем","Авивовичу"
"Агададаш Оглы","M","Агададаш Огли","Агададаш Огли","Агададаш Огли","Агададаш Огли","Агададаш Огли","Агададаш Огли"
"Агадишович","M","","","","","",""
"Агадишівна","F","","","","","",""
"Агакеримовна","F","Агакеримівно","Агакеримівни","Агакеримівні","Агакеримівни","Агакеримівною","Агакеримівні"
"Агакерімович","M","","","","","",""
"Агакерімівна","F","","","","","",""
"Агаларович","M","Агаларовичу","Агаларовича","Агаларовичу","Агаларовича","Агаларовичем","Агаларовичу"
"Агапович","M","Агаповичу","Агаповича","Агаповичу","Агаповича","Агаповичем","Агаповичу"
"Агарагінович","M","","","","","",""
"Агарагінівна","F","","","","","",""
"Агаронович","M","","","","","",""
"Агаронівна","F","","","","","",""
"Агасафовна","F","Агасафівно","Агасафівни","Агасафівні","Агасафівни","Агасафівною","Агасафівні"
"Агаси Оглы","M","Агасі Огли","Агасі Огли","Агасі Огли","Агасі Огли","Агасі Огли","Агасі Огли"
"Агасинович","M","Агасиновичу","Агасиновича","Агасиновичу","Агасиновича","Агасиновичем","Агасиновичу"
"Агасиогинович","M","Агасіогіновичу","Агасіогіновича","Агасіогіновичу","Агасіогіновича","Агасіогіновичем","Агасіогіновичу"
"Агасовна","F","Агасівно","Агасівни","Агасівні","Агасівни","Агасівною","Агасівні"
"Агасійоч","M","","","","","",""
"Агасіївна","F","","","","","",""
"Агафонович","M","Агафоновичу","Агафоновича","Агафоновичу","Агафоновича","Агафоновичем","Агафоновичу"
"Агафоновна","F","Агафонівно","Агафонівни","Агафонівні","Агафонівни","Агафонівною","Агафонівні"
"Агафонівна","F","","","","","",""
"Агаханович","M","Агахановичу","Агахановича","Агахановичу","Агахановича","Агахановичем","Агахановичу"
"Агахановна","F","Агаханівно","Агаханівни","Агаханівні","Агаханівни","Агаханівною","Агаханівні"
"Агванович","M","Агвановичу","Агвановича","Агвановичу","Агвановича","Агвановичем","Агвановичу"
"Агванівна","F","","","","","",""
"Агедзянович","M","Агедзяновичу","Агедзяновича","Агедзяновичу","Агедзяновича","Агедзяновичем","Агедзяновичу"
"Агеевич","M","Агейовичу","Агейовича","Агейовичу","Агейовича","Агейовичем","Агейовичу"
"Агеевна","F","Агіївно","Агіївни","Агіївні","Агіївни","Агіївною","Агіївні"
"Агзамович","M","Агзамовичу","Агзамовича","Агзамовичу","Агзамовича","Агзамовичем","Агзамовичу"
"Агович","M","Аговичу","Аговича","Аговичу","Аговича","Аговичем","Аговичу"
"Адаевич","M","Адайовичу","Адайовича","Адайовичу","Адайовича","Адайовичем","Адайовичу"
"Адальбертович","M","Адальбертовичу","Адальбертовича","Адальбертовичу","Адальбертовича","Адальбертовичем","Адальбертовичу"
"Адальбертовна","F","Адальбертівно","Адальбертівни","Адальбертівні","Адальбертівни","Адальбертівною","Адальбертівні"
"Адальбертівна","F","","","","","",""
"Адамович","M","Адамовичу","Адамовича","Адамовичу","Адамовича","Адамовичем","Адамовичу"
"Адамовна","F","Адамівно","Адамівни","Адамівні","Адамівни","Адамівною","Адамівні"
"Адамівна","F","","","","","",""
"Аданша Оглы","M","Аданша Огли","Аданша Огли","Аданша Огли","Аданша Огли","Аданша Огли","Аданша Огли"
"Адарович","M","Адаровичу","Адаровича","Адаровичу","Адаровича","Адаровичем","Адаровичу"
"Адвертович","M","Адвертовичу","Адвертовича","Адвертовичу","Адвертовича","Адвертовичем","Адвертовичу"
"Адганович","M","Адгановичу","Адгановича","Адгановичу","Адгановича","Адгановичем","Адгановичу"
"Адганівна","F","","","","","",""
"Адеевич","M","Адійовичу","Адійовича","Адійовичу","Адійовича","Адійовичем","Адійовичу"
"Адельевич","M","Адельовичу","Адельовича","Адельовичу","Адельовича","Адельовичем","Адельовичу"
"Адельзянович","M","Адельзяновичу","Адельзяновича","Адельзяновичу","Адельзяновича","Адельзяновичем","Адельзяновичу"
"Адельшаевич","M","Адельшайовичу","Адельшайовича","Адельшайовичу","Адельшайовича","Адельшайовичем","Адельшайовичу"
"Адемович","M","","","","","",""
"Адемівна","F","","","","","",""
"Адеілович","M","","","","","",""
"Адеілівна","F","","","","","",""
"Аджиевич","M","Аджийовичу","Аджийовича","Аджийовичу","Аджийовича","Аджийовичем","Аджийовичу"
"Аджимуратович","M","Аджимуратовичу","Аджимуратовича","Аджимуратовичу","Аджимуратовича","Аджимуратовичем","Аджимуратовичу"
"Аджимуратовна","F","Аджимуратівно","Аджимуратівни","Аджимуратівні","Аджимуратівни","Аджимуратівною","Аджимуратівні"
"Адибович","M","Адибовичу","Адибовича","Адибовичу","Адибовича","Адибовичем","Адибовичу"
"Адиловна","F","Адилівно","Адилівни","Адилівні","Адилівни","Адилівною","Адилівні"
"Адильжановна","F","Адильжанівно","Адильжанівни","Адильжанівні","Адильжанівни","Адильжанівною","Адильжанівні"
"Адиминович","M","Адемидовичу","Адемидовича","Адемидовичу","Адемидовича","Адемидовичем","Адемидовичу"
"Адимович","M","Адимовичу","Адимовича","Адимовичу","Адимовича","Адимовичем","Адимовичу"
"Адиславович","M","Адиславовичу","Адиславовича","Адиславовичу","Адиславовича","Адиславовичем","Адиславовичу"
"Адихамович","M","Адіхамовичу","Адіхамовича","Адіхамовичу","Адіхамовича","Адіхамовичем","Адіхамовичу"
"Аднанович","M","","","","","",""
"Аднанівна","F","","","","","",""
"Адолиевич","M","Адолійовичу","Адолійовича","Адолійовичу","Адолійовича","Адолійовичем","Адолійовичу"
"Адоловна","F","Адолівно","Адолівни","Адолівні","Адолівни","Адолівною","Адолівні"
"Адольфасовна","F","Адольфасівно","Адольфасівни","Адольфасівні","Адольфасівни","Адольфасівною","Адольфасівні"
"Адольфович","M","Адольфовичу","Адольфовича","Адольфовичу","Адольфовича","Адольфовичем","Адольфовичу"
"Адольфовна","F","Адольфівно","Адольфівни","Адольфівні","Адольфівни","Адольфівною","Адольфівні"
"Адольфівна","F","","","","","",""
"Адониевна","F","Адоніївно","Адоніївни","Адоніївні","Адоніївни","Адоніївною","Адоніївні"
"Адонисович","M","Адонісовичу","Адонісовича","Адонісовичу","Адонісовича","Адонісовичем","Адонісовичу"
"Адрианович","M","Адріановичу","Адріановича","Адріановичу","Адріановича","Адріановичем","Адріановичу"
"Адриановна","F","Адріанівно","Адріанівни","Адріанівні","Адріанівни","Адріанівною","Адріанівні"
"Адріанович","M","","","","","",""
"Адріанівна","F","","","","","",""
"Адуарович","M","Адуаровичу","Адуаровича","Адуаровичу","Адуаровича","Адуаровичем","Адуаровичу"
"Адуаровна","F","Адуарівно","Адуарівни","Адуарівні","Адуарівни","Адуарівною","Адуарівні"
"Адуарівна","F","","","","","",""
"Адхамовна","F","Адхамівно","Адхамівни","Адхамівні","Адхамівни","Адхамівною","Адхамівні"
"Адьгамовна","F","Адьгамівно","Адьгамівни","Адьгамівні","Адьгамівни","Адьгамівною","Адьгамівні"
"Адійович","M","","","","","",""
"Адільович","M","","","","","",""
"Аділівна","F","","","","","",""
"Адіївна","F","","","","","",""
"Аезович","M","","","","","",""
"Аезівна","F","","","","","",""
"Азаматович","M","Азаматовичу","Азаматовича","Азаматовичу","Азаматовича","Азаматовичем","Азаматовичу"
"Азаретович","M","Азаретовичу","Азаретовича","Азаретовичу","Азаретовича","Азаретовичем","Азаретовичу"
"Азарович","M","Азаровичу","Азаровича","Азаровичу","Азаровича","Азаровичем","Азаровичу"
"Азарійович","M","","","","","",""
"Азаріївна","F","","","","","",""
"Азатбекович","M","Азатбековичу","Азатбековича","Азатбековичу","Азатбековича","Азатбековичем","Азатбековичу"
"Азатович","M","Азатовичу","Азатовича","Азатовичу","Азатовича","Азатовичем","Азатовичу"
"Азатовна","F","Азатівно","Азатівни","Азатівні","Азатівни","Азатівною","Азатівні"
"Азатівна","F","","","","","",""
"Азерович","M","","","","","",""
"Азерівна","F","","","","","",""
"Азизович","M","Азізовичу","Азізовича","Азізовичу","Азізовича","Азізовичем","Азізовичу"
"Азизовна","F","Азізівно","Азізівни","Азізівні","Азізівни","Азізівною","Азізівні"
"Азимович","M","Азімовичу","Азімовича","Азімовичу","Азімовича","Азімовичем","Азімовичу"
"Азимовна","F","Азимівно","Азимівни","Азимівні","Азимівни","Азимівною","Азимівні"
"Азнавурович","M","","","","","",""
"Азнавурівна","F","","","","","",""
"Азольдовна","F","Азольдівно","Азольдівни","Азольдівні","Азольдівни","Азольдівною","Азольдівні"
"Азотович","M","","","","","",""
"Азотівна","F","","","","","",""
"Азриловна","F","Азрилівно","Азрилівни","Азрилівні","Азрилівни","Азрилівною","Азрилівні"
"Азізович","M","","","","","",""
"Азізуллович","M","","","","","",""
"Азізуллівна","F","","","","","",""
"Азізівна","F","","","","","",""
"Азімович","M","","","","","",""
"Азімівна","F","","","","","",""
"Аифалович","M","Аіфаловичу","Аіфаловича","Аіфаловичу","Аіфаловича","Аіфаловичем","Аіфаловичу"
"Аифаловна","F","Аіфалівно","Аіфалівни","Аіфалівні","Аіфалівни","Аіфалівною","Аіфалівні"
"Айбекович","M","","","","","",""
"Айбеківна","F","","","","","",""
"Айвазович","M","Айвазовичу","Айвазовича","Айвазовичу","Айвазовича","Айвазовичем","Айвазовичу"
"Айвазівна","F","","","","","",""
"Айварович","M","Айваровичу","Айваровича","Айваровичу","Айваровича","Айваровичем","Айваровичу"
"Айгарсович","M","","","","","",""
"Айгарсівна","F","","","","","",""
"Айдерович","M","Айдеровичу","Айдеровича","Айдеровичу","Айдеровича","Айдеровичем","Айдеровичу"
"Айдеровна","F","Айдерівно","Айдерівни","Айдерівні","Айдерівни","Айдерівною","Айдерівні"
"Айдерівна","F","","","","","",""
"Айдинович","M","Айдиновичу","Айдиновича","Айдиновичу","Айдиновича","Айдиновичем","Айдиновичу"
"Айдиновна","F","Айдинівно","Айдинівни","Айдинівні","Айдинівни","Айдинівною","Айдинівні"
"Айдімірович","M","","","","","",""
"Айдімірівна","F","","","","","",""
"Айдінович","M","","","","","",""
"Айдінівна","F","","","","","",""
"Айзекович","M","Айзековичу","Айзековича","Айзековичу","Айзековича","Айзековичем","Айзековичу"
"Айзорович","M","Айзоровичу","Айзоровича","Айзоровичу","Айзоровича","Айзоровичем","Айзоровичу"
"Айкадович","M","","","","","",""
"Айкадівна","F","","","","","",""
"Айказович","M","Айказовичу","Айказовича","Айказовичу","Айказовича","Айказовичем","Айказовичу"
"Айкасович","M","","","","","",""
"Айкасовна","F","Айкасівно","Айкасівни","Айкасівні","Айкасівни","Айкасівною","Айкасівні"
"Айкасівна","F","","","","","",""
"Айкович","M","","","","","",""
"Айківна","F","","","","","",""
"Айманович","M","","","","","",""
"Айманівна","F","","","","","",""
"Айразатовна","F","Айразатівно","Айразатівни","Айразатівні","Айразатівни","Айразатівною","Айразатівні"
"Айралетянович","M","","","","","",""
"Айралетянівна","F","","","","","",""
"Айрапетович","M","Айрапетовичу","Айрапетовича","Айрапетовичу","Айрапетовича","Айрапетовичем","Айрапетовичу"
"Айратович","M","","","","","",""
"Айратівна","F","","","","","",""
"Айтугановна","F","Айтуганівно","Айтуганівни","Айтуганівні","Айтуганівни","Айтуганівною","Айтуганівні"
"Акаевич","M","Акайовичу","Акайовича","Акайовичу","Акайовича","Акайовичем","Акайовичу"
"Акакиевич","M","Акакійовичу","Акакійовича","Акакійовичу","Акакійовича","Акакійовичем","Акакійовичу"
"Акакиевна","F","Акакіївно","Акакіївни","Акакіївні","Акакіївни","Акакіївною","Акакіївні"
"Акакійович","M","","","","","",""
"Акакіївна","F","","","","","",""
"Акбарович","M","Акбаровичу","Акбаровича","Акбаровичу","Акбаровича","Акбаровичем","Акбаровичу"
"Акбаровна","F","Акбарівно","Акбарівни","Акбарівні","Акбарівни","Акбарівною","Акбарівні"
"Акбарівна","F","","","","","",""
"Акберович","M","Акберовичу","Акберовича","Акберовичу","Акберовича","Акберовичем","Акберовичу"
"Акзамовна","F","Акзамівно","Акзамівни","Акзамівні","Акзамівни","Акзамівною","Акзамівні"
"Акимович","M","Якимовичу","Якимовича","Якимовичу","Якимовича","Якимовичем","Якимовичу"
"Акимовна","F","Якимівно","Якимівни","Якимівні","Якимівни","Якимівною","Якимівні"
"Акиндиевич","M","Акіндійовичу","Акіндійовича","Акіндійовичу","Акіндійовича","Акіндійовичем","Акіндійовичу"
"Акиндиновна","F","Акіндинівно","Акіндинівни","Акіндинівні","Акіндинівни","Акіндинівною","Акіндинівні"
"Акифовна","F","Акифівно","Акифівни","Акифівні","Акифівни","Акифівною","Акифівні"
"Акмеджанович","M","Акмеджановичу","Акмеджановича","Акмеджановичу","Акмеджановича","Акмеджановичем","Акмеджановичу"
"Акмурадович","M","Акмурадовичу","Акмурадовича","Акмурадовичу","Акмурадовича","Акмурадовичем","Акмурадовичу"
"Акопович","M","Акоповичу","Акоповича","Акоповичу","Акоповича","Акоповичем","Акоповичу"
"Акоповна","F","Акопівно","Акопівни","Акопівні","Акопівни","Акопівною","Акопівні"
"Акопівна","F","","","","","",""
"Акоровна","F","Акорівно","Акорівни","Акорівні","Акорівни","Акорівною","Акорівні"
"Акрамович","M","Акрамовичу","Акрамовича","Акрамовичу","Акрамовича","Акрамовичем","Акрамовичу"
"Акрамовна","F","Акрамівно","Акрамівни","Акрамівні","Акрамівни","Акрамівною","Акрамівні"
"Акрамівна","F","","","","","",""
"Аксельович","M","","","","","",""
"Акселівна","F","","","","","",""
"Аксентиевна","F","Оксентіївно","Оксентіївни","Оксентіївні","Оксентіївни","Оксентіївною","Оксентіївні"
"Аксентьевич","M","Оксентійовичу","Оксентійовича","Оксентійовичу","Оксентійовича","Оксентійовичем","Оксентійовичу"
"Аксьонович","M","","","","","",""
"Аксьонівна","F","","","","","",""
"Акіорович","M","","","","","",""
"Акіорівна","F","","","","","",""
"Акіфович","M","","","","","",""
"Акіфівна","F","","","","","",""
"Алавердиевич","M","Аллавердійовичу","Аллавердійовича","Аллавердійовичу","Аллавердійовича","Аллавердійовичем","Аллавердійовичу"
"Аладдінович","M","","","","","",""
"Аладдінівна","F","","","","","",""
"Аландовна","F","Аландівно","Аландівни","Аландівні","Аландівни","Аландівною","Аландівні"
"Аланович","M","","","","","",""
"Аланівна","F","","","","","",""
"Алгибековна","F","Алгібеківно","Алгібеківни","Алгібеківні","Алгібеківни","Алгібеківною","Алгібеківні"
"Алевидовна","F","Алівидівно","Алівидівни","Алівидівні","Алівидівни","Алівидівною","Алівидівні"
