"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Аза","F","Азы","Азе","Азы","Азой","Азе"
"Азалия","F","","","","",""
"Азамат","M","Азамата","Азамату","Азамата","Азаматом","Азамате"
"Азар","M","","","","",""
"Азарет","M","","","","",""
"Азарий","M","Азария","Азарию","Азария","Азарием","Азарие"
"Азат","M","Азата","Азату","Азата","Азатом","Азате"
"Азатбек","M","","","","",""
"Азер","M","Азера","Азеру","Азера","Азером","Азере"
"Азиз","M","Азиза","Азизу","Азиза","Азизом","Азизе"
"Азиза","F","Азизы","Азизе","Азизы","Азизой","Азизе"
"Азизулла","M","Азизулла","Азизуллу","Азизулла","Азизуллом","Азизулле"
"Азим","M","Азима","Азиму","Азима","Азимом","Азиме"
"Азнавур","M","Азнавура","Азнавуру","Азнавура","Азнавуром","Азнавуре"
"Азнив","F","Азнив","Азнив","Азнив","Азнив","Азнив"
"Азольд","M","","","","",""
"Азот","M","Азота","Азоту","Азота","Азотом","Азоте"
"Азрил","M","","","","",""
"Аида","F","Аиды","Аиде","Аиды","Аидой","Аиде"
"Аиткали","M","Аиткали","Аиткали","Аиткали","Аиткали","Аиткали"
"Аифал","M","Аифала","Аифалу","Аифала","Аифалом","Аифале"
"Айбек","M","Айбека","Айбеку","Айбека","Айбеком","Айбеке"
"Айваз","M","Айваза","Айвазу","Айваза","Айвазом","Айвазе"
"Айвар","M","Айвара","Айвару","Айвара","Айваром","Айваре"
"Айгарс","M","Айгарса","Айгарсу","Айгарса","Айгарсом","Айгарсе"
"Айгуль","F","Ангуль","Ангуль","Ангуль","Ангуль","Ангуль"
"Айдар","M","Айдара","Айдару","Айдара","Айдаром","Айдаре"
"Айдер","M","Айдера","Айдеру","Айдера","Айдером","Айдере"
"Айдимир","M","Айдимира","Айдимиру","Айдимира","Айдимиром","Айдимире"
"Айдин","M","Айдина","Айдину","Айдина","Айдином","Айдине"
"Айзек","M","","","","",""
"Айзор","M","","","","",""
"Айк","M","Айка","Айку","Айка","Айком","Айке"
"Айкад","M","Айкада","Айкаду","Айкада","Айкадом","Айкаде"
"Айказ","M","","","","",""
"Айкас","M","Айкаса","Айкасу","Айкаса","Айкасом","Айкасе"
"Айман","M","Аймана","Айману","Аймана","Айманом","Аймане"
"Айна","F","Айны","Айне","Айны","Айной","Айне"
"Айнур","F","Айнур","Айнур","Айнур","Айнур","Айнур"
"Айразат","M","","","","",""
"Айралетян","M","Айралетяна","Айралетяну","Айралетяна","Айралетяном","Айралетяне"
"Айрапет","M","","","","",""
"Айрат","M","Айрата","Айрату","Айрата","Айратом","Айрате"
"Айсет","F","Айсет","Айсет","Айсет","Айсет","Айсет"
"Айтуган","M","","","","",""
"Айше","F","Айше","Айше","Айше","Айше","Айше"
"Акай","M","","","","",""
"Акакий","M","Акакия","Акакию","Акакия","Акакием","Акакие"
"Акария","F","Акарии","Акарии","Акарии","Акарией","Акарии"
"Акбар","M","Акбара","Акбару","Акбара","Акбаром","Акбаре"
"Акбер","M","","","","",""
"Акзам","M","","","","",""
"Аким","M","","","","",""
"Акиндий","M","","","","",""
"Акиндин","M","","","","",""
"Акиор","M","Акиора","Акиору","Акиора","Акиором","Акиоре"
"Акиф","M","Акифа","Акифу","Акифа","Акифом","Акифе"
"Акмеджан","M","","","","",""
"Акмурад","M","","","","",""
"Акоп","M","Акопа","Акопу","Акопа","Акопом","Акопе"
"Акор","M","","","","",""
"Акрам","M","Акрама","Акраму","Акрама","Акрамом","Акраме"
"Аксель","M","Акселя","Акселю","Акселя","Акселем","Акселе"
"Аксения","F","Аксении","Аксении","Аксении","Аксенией","Аксение"
"Аксентий","M","","","","",""
"Аксьон","M","Аксьона","Аксьону","Аксьона","Аксьоном","Аксьоне"
"Акулина","F","Акулины","Акулине","Акулины","Акулиной","Акулине"
"Ала","M","Ала","Алу","Ала","Алам","Алае"
"Алаверди","M","","","","",""
"Аладдин","M","Аладдина","Аладдину","Аладдина","Аладдином","Аладдине"
"Алан","M","Алана","Алану","Алана","Аланом","Алане"
"Аланд","M","","","","",""
"Алания","F","Алании","Алании","Алании","Аланией","Алании"
"Албена","F","Албены","Албене","Албены","Албеной","Албене"
"Алгибек","M","","","","",""
"Алевид","M","","","","",""
"Алевтин","M","","","","",""
"Алевтина","F","Алевтины","Алевтине","Алевтины","Алевтиной","Алевтине"
"Алек","M","","","","",""
"Алекпер-Оглы","M","","","","",""
"Алекпер","M","Алекпера","Алекперу","Алекпера","Алекпером","Алекпере"
"Алекс","M","Алекса","Алексу","Алекса","Алексом","Алексе"
"Алекса","M","Алекса","Алексу","Алекса","Алексом","Алексе"
"Александр","M","Александра","Александру","Александра","Александром","Александре"
"Александра","F","Александры","Александре","Александры","Александрой","Александре"
"Александрина","F","Александрины","Александрине","Александрины","Александриной","Александрине"
"Алексей","M","Алексея","Алексею","Алексея","Алексеем","Алексее"
"Алексия","F","Алексии","Алексии","Алексии","Алексией","Алексие"
"Алена","F","Алены","Алене","Алены","Аленой","Алене"
"Аленид","M","","","","",""
"Аленкес","M","Аленкеса","Аленкесу","Аленкеса","Аленкесом","Аленкесе"
"Алескер","M","Алескера","Алескеру","Алескера","Алескером","Алескере"
"Алеся","F","Алеси","Алесе","Алеси","Алесей","Алесе"
"Али Гаджи","M","Али Гаджия","Али Гаджию","Али Гаджия","Али Гаджием","Али Гаджие"
"Али Оглы","M","","","","",""
"Али","M","Али","Али","Али","Али","Али"
"Алибала Оглы","M","","","","",""
"Алибашай","M","","","","",""
"Алиджан","M","Алиджана","Алиджану","Алиджана","Алиджаном","Алиджане"
"Алие","F","Алии","Алие","Алии","Алиэй","Алие"
"Ализамин","M","Ализамина","Ализамину","Ализамина","Ализамином","Ализамине"
"Алик","M","Алика","Алику","Алика","Аликом","Алике"
"Алика","F","Алики","Алике","Алики","Аликой","Алике"
"Алил","M","Алила","Алилу","Алила","Алилом","Алиле"
"Алиля","F","Алили","Алили","Алили","Алилей","Алиле"
"Алим","M","Алима","Алиму","Алима","Алимом","Алиме"
"Алиме","F","Алимы","Алиме","Алимы","Алимой","Алиме"
"Алимжан","M","Алимжана","Алимжану","Алимжана","Алимжаном","Алимжане"
"Алина","F","Алины","Алине","Алины","Алиной","Алине"
"Алинтин","M","","","","",""
"Алис","M","","","","",""
"Алиса","F","Алисы","Алисе","Алисы","Алисой","Алисе"
"Алит","M","","","","",""
"Алиугви","M","","","","",""
"Алиул","M","","","","",""
"Алиф","M","Алифа","Алифу","Алифа","Алифом","Алифе"
"Алифард","M","","","","",""
"Алифхан","M","","","","",""
"Алихан","M","Алихана","Алихану","Алихана","Алиханом","Алихане"
"Алиция","F","Алиции","Алиции","Алиции","Алицией","Алицие"
"Аличубан","M","","","","",""
"Алишер","M","Алишера","Алишеру","Алишера","Алишером","Алишере"
"Алия","F","Алии","Алии","Алии","Алией","Алии"
"Алкушат","M","","","","",""
"Алла","F","Аллы","Алле","Аллы","Аллой","Алле"
"Алладин","M","","","","",""
"Аллаз Оглы","M","","","","",""
"Аллам","M","Аллама","Алламу","Аллама","Алламом","Алламе"
"Аллан","M","","","","",""
"Аллахверан","M","","","","",""
"Аллен","M","Аллена","Аллену","Аллена","Алленом","Аллене"
"Аллиул","M","","","","",""
"Алмаз","F","Алмазы","Алмазе","Алмазы","Алмазой","Алмазе"
"Алмаз","M","","","","",""
"Алман","M","Алмана","Алману","Алмана","Алманом","Алмане"
"Алмоц","M","","","","",""
"Алоиз","M","","","","",""
"Алоис","M","","","","",""
"Алойсей","M","","","","",""
"Алпер","M","Алпера","Алперу","Алпера","Алпером","Алпере"
"Алсу","F","Алсу","Алсу","Алсу","Алсу","Алсу"
"Алтинбек","M","","","","",""
"Алхазур","M","Алхазура","Алхазуру","Алхазура","Алхазуром","Алхазуре"
"Алхай","M","Алхая","Алхаю","Алхая","Алхаем","Алхае"
"Алхас Оглы","M","","","","",""
"Алшавид","M","","","","",""
"Аль Абдель","M","Аль Абделя","Аль Абделю","Аль Абделя","Аль Абделем","Аль Абделе"
"Альберт","M","Альберта","Альберту","Альберта","Альбертом","Альберте"
"Альбертина","F","Альбертины","Альбертине","Альбертины","Альбертиной","Альбертине"
"Альберто","M","Альберто","Альберто","Альберто","Альберто","Альберто"
"Альбин","M","Альбина","Альбину","Альбина","Альбином","Альбине"
"Альбина","F","Альбины","Альбине","Альбины","Альбиной","Альбине"
"Альвиан","M","","","","",""
"Альвидас","M","Альвидаса","Альвидасу","Альвидаса","Альвидасом","Альвидасе"
"Альвин","M","","","","",""
"Альвина","F","Альвины","Альвине","Альвины","Альвиной","Альвине"
"Альгердас","M","","","","",""
"Альгидрас","M","Альгидраса","Альгидрасу","Альгидраса","Альгидрасом","Альгидрасе"
"Альгимант","M","","","","",""
"Альгимантас","M","Альгимантаса","Альгимантасу","Альгимантаса","Альгимантасом","Альгимантасе"
"Альгирдас","M","","","","",""
"Альгирдо","M","","","","",""
"Альгис","M","Альгиса","Альгису","Альгиса","Альгисом","Альгисе"
"Альдонгар","M","","","","",""
"Альман","M","","","","",""
"Альмир","M","Альмира","Альмиру","Альмира","Альмиром","Альмире"
"Альмира","F","Альмиры","Альмире","Альмиры","Альмирой","Альмире"
"Альмутас","M","","","","",""
"Альт","M","","","","",""
"Альтоф","M","","","","",""
"Альфикур","F","Альфикуры","Альфикуре","Альфикуры","Альфикурой","Альфикуре"
"Альфир","M","Альфира","Альфиру","Альфира","Альфиром","Альфире"
"Альфира","F","","","","",""
"Альфит","M","Альфита","Альфиту","Альфита","Альфитом","Альфите"
"Альфия","F","Альфии","Альфии","Альфии","Альфией","Альфии"
"Альфон","M","","","","",""
"Альфонс","M","Альфонса","Альфонсу","Альфонса","Альфонсом","Альфонсе"
"Альфос","M","","","","",""
"Альфред","M","Альфреда","Альфреду","Альфреда","Альфредом","Альфреде"
"Альфреда","F","Альфреды","Альфреде","Альфреды","Альфредой","Альфреде"
"Альхаддад","M","Альхаддада","Альхаддаду","Альхаддада","Альхаддадом","Альхаддаде"
"Альяна","F","Альяны","Альяне","Альяны","Альяной","Альяне"
"Альянс","M","","","","",""
"Алюзас","M","","","","",""
"Алялим","M","","","","",""
"Аляр","M","","","","",""
"Амавор","M","Амавора","Амавору","Амавора","Амавором","Амаворе"
"Амаду","M","","","","",""
"Амазас","M","","","","",""
"Амаис","M","","","","",""
"Амалия","F","Амалии","Амалии","Амалии","Амалией","Амалии"
"Аман-Гельди","M","Аман-Гельдия","Аман-Гельдию","Аман-Гельдия","Аман-Гельдием","Аман-Гельдие"
"Аман","M","Аманав","Аману","Амана","Аманом","Амане"
"Амаяк","M","Амаяка","Амаяку","Амаяка","Амаяком","Амаяке"
"Амбарцум","M","Амбарцума","Амбарцуму","Амбарцума","Амбарцумом","Амбарцуме"
"Амбросий","M","Амбросия","Амбросию","Амбросия","Амбросием","Амбросие"
"Амбруш","M","","","","",""
"Амвросий","M","","","","",""
"Амед","M","","","","",""
"Амелия","F","Амелии","Амелии","Амелии","Амелией","Амелие"
"Амест","F","Аместы","Аместе","Аместы","Аместой","Аместе"
"Амет","M","Амета","Амету","Амета","Аметом","Амете"
"Амин","M","","","","",""
"Амина","F","Амины","Амине","Амины","Аминой","Амине"
"Амир","M","Амира","Амиру","Амира","Амиром","Амире"
"Амира","F","Амиры","Амире","Амиры","Амирой","Амире"
"Амиран","M","Амирана","Амирану","Амирана","Амираном","Амиране"
"Амираслан Оглы","M","","","","",""
"Амиргали","M","","","","",""
"Амирзан","M","","","","",""
"Амирхан","M","Амирхана","Амирхану","Амирхана","Амирханом","Амирхане"
"Амос","M","","","","",""
"Ампол","M","","","","",""
"Амрос","M","","","","",""
"Амунолах","M","","","","",""
"Амур","M","Амура","Амуру","Амура","Амуром","Амуре"
"Амуралий","M","","","","",""
"Анаид","M","Анаида","Анаиду","Анаида","Анаидом","Анаиде"
"Анаида","F","Анаида","Анаиды","Анаида","Анаидой","Анаиде"
"Анакулий","M","","","","",""
"Аналий","M","Аналия","Аналию","Аналия","Аналием","Аналие"
"Ананий","M","Анания","Ананию","Анания","Ананием","Анание"
"Анар","M","Анара","Анару","Анара","Анаром","Анаре"
"Анас","M","","","","",""
"Анастас","M","","","","",""
"Анастасий","M","Анастасия","Анастасию","Анастасия","Анастасием","Анастасие"
"Анастасия","F","Анастасии","Анастасии","Анастасии","Анастасией","Анастасии"
"Анат","M","Аната","Анату","Аната","Анатом","Анате"
"Анатолий","M","Анатолия","Анатолию","Анатолия","Анатолием","Анатолии"
"Анатолия","F","Анатолии","Анатолии","Анатолии","Анатолией","Анатолие"
"Анатоль","M","Анатоля","Анатолю","Анатоля","Анатолем","Анатоле"
"Анафий","M","","","","",""
"Анбат","M","Анбата","Анбату","Анбата","Анбатом","Анбате"
"Анвар","M","Анвара","Анвару","Анвара","Анваром","Анваре"
"Анваруззаман","M","Анваруззамана","Анваруззаману","Анваруззамана","Анваруззаманом","Анваруззамане"
"Анвер","M","Анвера","Анверу","Анвера","Анвером","Анвере"
"Ангел","M","Ангела","Ангелу","Ангела","Ангелом","Ангеле"
"Ангелина","F","Ангелины","Ангелине","Ангелины","Ангелиной","Ангелине"
"Ангелия","F","Ангелии","Ангелии","Ангелии","Ангелией","Ангелии"
"Ангин","F","Ангины","Ангине","Ангины","Ангиной","Ангине"
"Андержан","M","","","","",""
"Анджей","M","Анджея","Анджею","Анджея","Анджеем","Анджее"
"Анджело","M","Анджело","Анджело","Анджело","Анджело","Анджело"
"Андин","M","Андина","Андину","Андина","Андином","Андине"
"Андраник","M","Андраника","Андранику","Андраника","Андраником","Андранике"
"Андрашко","M","","","","",""
"Андреас","M","Андреаса","Андреасу","Андреаса","Андреасом","Андреасе"
"Андрей","M","Андрея","Андрею","Андрея","Андреем","Андрее"
"Андрес","M","Андреса","Андресу","Андреса","Андресом","Андресе"
"Андриан","M","Андриана","Андриану","Андриана","Андрианом","Андриане"
"Андриана","F","Андрианы","Андриане","Андрианы","Андрианой","Андриане"
"Андриян","M","","","","",""
"Андрон","M","Андрона","Андрону","Андрона","Андроном","Андроне"
"Андроник","M","Андроника","Андронику","Андроника","Андроником","Андронике"
"Анела","F","Анелы","Анеле","Анелы","Анелой","Анеле"
"Анелия","F","Анелии","Анелии","Анелии","Анелией","Анелии"
"Анеон","M","","","","",""
"Анетта","F","Анетты","Анетте","Анетты","Анеттой","Анетте"
"Анжел","M","","","","",""
"Анжела","F","Анжелы","Анжеле","Анжелу","Анжелой","Анжеле"
"Анжелика","F","Анжелики","Анжелике","Анжелики","Анжеликой","Анжелике"
"Анжелина","F","Анжелины","Анжелине","Анжелины","Анжелиной","Анжелине"
"Анзор","M","Анзора","Анзору","Анзора","Анзором","Анзоре"
"Аникей","M","","","","",""
"Анил","M","","","","",""
"Анимполист","M","Анимполиста","Анимполисту","Анимполиста","Анимполистом","Анимполисте"
"Анис","M","","","","",""
"Анисий","M","","","","",""
"Анисим","M","","","","",""
"Анисия","F","Анисии","Анисии","Анисии","Анисией","Анисии"
"Анита","F","Аниты","Аните","Аниты","Анитой","Аните"
"Анифат","M","","","","",""
"Анифэ","F","Анифэ","Анифэ","Анифэ","Анифэ","Анифэ"
"Анна","F","Анны","Анне","Анны","Анной","Анне"
"Аннаби","M","Аннабия","Аннабию","Аннабия","Аннабием","Аннабие"
"Аннамария","F","Аннамарии","Аннамарии","Аннамарии","Аннамарией","Аннамарие"
"Аннет","F","Аннет","Аннет","Аннет","Аннет","Аннет"
"Анорий","M","Анория","Анорию","Анория","Анорием","Анорие"
"Анри","M","Анри","Анри","Анри","Анри","Анри"
"Ансар","M","Ансара","Ансару","Ансара","Ансаром","Ансаре"
"Антанас","M","","","","",""
"Антанасий","M","Анастасия","Анастасию","Анастасия","Анастасием","Анастасие"
"Антаран","F","Антаран","Антаран","Антаран","Антаран","Антаран"
"Антас","M","","","","",""
"Антелла","F","Антеллы","Антелле","Антеллы","Антеллой","Антелле"
"Антип","M","Антипа","Антипу","Антипа","Антипом","Антипе"
"Антон","M","Антона","Антону","Антона","Антоном","Антоне"
"Антонида","F","Антониды","Антониде","Антониды","Антонидой","Антониде"
"Антоний","M","Антония","Антонию","Антония","Антонием","Антоние"
"Антонина","F","Антонины","Антонине","Антонины","Антониной","Антонине"
"Антонио","M","Антонио","Антонио","Антонио","Антонио","Антонио"
"Антуан","M","Антуана","Антуану","Антуана","Антуаном","Антуане"
"Антуанетта","F","Антуанетты","Антуанетте","Антуанетты","Антуанеттой","Антуанетте"
"Ануш","F","Ануш","Ануш","Ануш","Ануш","Ануш"
"Анушаван","M","","","","",""
"Анфиса","F","Анфисы","Анфисе","Анфисы","Анфисой","Анфисе"
"Анчар","M","","","","",""
"Аполинарий","M","","","","",""
"Аполинария","F","Аполинарии","Аполинарии","Аполинарии","Аполинарией","Аполинарии"
"Аполлинарий","M","","","","",""
"Аполлон","M","","","","",""
"Аполлоний","M","","","","",""
"Аппаз","M","","","","",""
"Апполинарий","M","Апполинария","Апполинарию","Апполинария","Апполинарием","Апполинарие"
"Апполон","M","Апполона","Апполону","Апполона","Апполоном","Апполоне"
"Апполония","F","","","","",""
"Апрес","M","Апреса","Апресу","Апреса","Апресом","Апресе"
"Аптуматин","M","","","","",""
"Апутюх","M","Апутюха","Апутюху","Апутюха","Апутюхом","Апутюхе"
"Апухтина","F","Апухтины","Апухтине","Апухтины","Апухтиной","Апухтине"
"Ара","M","Ара","Ару","Ара","Аром","Аре"
"Аравил","M","","","","",""
"Араз","M","Араза","Аразу","Араза","Аразом","Аразе"
"Араик","M","Араика","Араику","Араика","Араиком","Араике"
"Арай","M","","","","",""
"Аракел","M","","","","",""
"Аракси","F","Аракси","Аракси","Аракси","Аракси","Аракси"
"Араксл","M","","","","",""
"Арам","M","Арама","Араму","Арама","Арамом","Араме"
"Арамаис","M","Арамаиса","Арамаису","Арамаиса","Арамаисом","Арамаисе"
"Арамис","M","Арамиса","Арамису","Арамиса","Арамисом","Арамисе"
"Арарат","M","Арарата","Арарату","Арарата","Араратом","Арарате"
"Арбай","M","","","","",""
"Арбинт","M","Арбинта","Арбинту","Арбинта","Арбинтом","Арбинте"
"Арвид","M","Арвида","Арвиду","Арвида","Арвидом","Арвиде"
"Ардалион","M","","","","",""
"Ардан","M","Ардана","Ардану","Ардана","Арданом","Ардане"
"Ардашес","M","","","","",""
"Аре","M","","","","",""
"Аревик","M","Аревика","Аревику","Аревика","Аревиком","Аревике"
"Аревика","F","Аревикы","Аревике","Аревикы","Аревикой","Аревике"
"Аревшат","M","","","","",""
"Арелина","F","Арелины","Арелине","Арелины","Арелиной","Арелине"
"Арем","M","","","","",""
"Арестакес","M","Арестакеса","Арестакесу","Арестакеса","Арестакесом","Арестакесе"
"Арета","F","Ареты","Арете","Ареты","Аретой","Арете"
"Арефий","M","","","","",""
"Арехт","M","","","","",""
"Арзу","M","Арзу","Арзу","Арзу","Арзу","Арзу"
"Арзуман","M","","","","",""
"Ариадна","F","Ариадны","Ариадне","Ариадны","Ариадной","Ариадне"
"Ариана","F","Арианы","Ариане","Арианы","Арианой","Ариане"
